rank_index,time,class,failures,ranking,nfpa,failure_metric
1.2693338922117443,0.0,1,0,30,0.8637757800105764,0
1.2693338922117443,0.0,1,0,24,0.8637757800105764,0
0.9998747709464032,0.001,1,0,20,0.8637757800105764,0
0.629167289578401,0.0,1,0,27,0.8637757800105764,0
0.44023709512674536,0.001,1,0,19,0.8637757800105764,0
0.3707074813680025,0.008,0,0,8,0.8637757800105764,0
0.3707074813680025,0.004,0,0,11,0.8637757800105764,0
0.3707074813680025,0.001,1,0,17,0.8637757800105764,0
0.3707074813680025,0.001,1,0,18,0.8637757800105764,0
0.3707074813680025,0.001,1,0,15,0.8637757800105764,0
0.3707074813680025,0.001,1,0,21,0.8637757800105764,0
0.3707074813680025,0.0,1,0,25,0.8637757800105764,0
0.3508565694495952,0.0,1,0,22,0.8637757800105764,0
0.20943775377136573,0.001,1,0,14,0.8637757800105764,0
0.20943775377136573,0.02,0,0,5,0.8637757800105764,0
0.12299152269900053,0.0,1,0,23,0.8637757800105764,0
0.12299152269900053,0.064,0,0,2,0.8637757800105764,0
0.12299152269900053,0.0,1,0,29,0.8637757800105764,0
0.12299152269900053,0.052000000000000005,0,0,3,0.8637757800105764,0
0.12299152269900053,0.006999999999999999,0,0,9,0.8637757800105764,0
0.12299152269900053,0.0,1,0,28,0.8637757800105764,0
0.0,0.018000000000000002,0,0,6,0.8637757800105764,0
0.0,0.021,0,0,4,0.8637757800105764,0
0.0,0.006,0,0,10,0.8637757800105764,0
0.0,0.012,0,0,7,0.8637757800105764,0
0.0,0.0,1,0,26,0.8637757800105764,0
0.0,0.003,0,0,12,0.8637757800105764,0
0.0,0.003,0,0,13,0.8637757800105764,0
0.0,0.001,1,0,16,0.8637757800105764,0
0.0,0.092,0,0,1,0.8637757800105764,0
rank_index,time,class,failures,ranking,nfpa,failure_metric
1.2693338922117443,0.001,1,0,18,0.836790251490796,0
1.2693338922117443,0.0,1,0,25,0.836790251490796,0
0.9998747709464032,0.001,1,0,21,0.836790251490796,0
0.629167289578401,0.001,1,0,15,0.836790251490796,0
0.44023709512674536,0.011000000000000001,0,0,8,0.836790251490796,0
0.3707074813680025,0.0,1,0,23,0.836790251490796,0
0.3707074813680025,0.0,1,0,24,0.836790251490796,0
0.3707074813680025,0.001,1,0,20,0.836790251490796,0
0.3707074813680025,0.001,1,0,19,0.836790251490796,0
0.3707074813680025,0.004,0,0,13,0.836790251490796,0
0.3707074813680025,0.006,0,0,11,0.836790251490796,0
0.3707074813680025,0.008,0,0,9,0.836790251490796,0
0.3508565694495952,0.001,1,0,16,0.836790251490796,0
0.12299152269900053,0.09,0,0,2,0.836790251490796,0
0.12299152269900053,0.017,0,0,6,0.836790251490796,0
0.12299152269900053,0.065,0,0,3,0.836790251490796,0
0.12299152269900053,0.0,1,0,26,0.836790251490796,0
0.12299152269900053,0.0,1,0,27,0.836790251490796,0
0.12299152269900053,0.0,1,0,28,0.836790251490796,0
0.0,0.022000000000000002,0,0,4,0.836790251490796,0
0.0,0.02,0,0,5,0.836790251490796,0
0.0,0.001,1,0,14,0.836790251490796,0
0.0,0.013999999999999999,0,0,7,0.836790251490796,0
0.0,0.008,0,0,10,0.836790251490796,0
0.0,0.005,0,0,12,0.836790251490796,0
0.0,0.001,1,0,17,0.836790251490796,0
0.0,0.0,1,0,22,0.836790251490796,0
0.0,0.11900000000000001,0,0,1,0.836790251490796,0
rank_index,time,class,failures,ranking,nfpa,failure_metric
1.2693338922117443,0.0,1,0,28,0.8417299824663943,0
1.2693338922117443,0.0,1,0,27,0.8417299824663943,0
0.9998747709464032,0.001,1,0,21,0.8417299824663943,0
0.8386050433497666,0.008,0,0,13,0.8417299824663943,0
0.629167289578401,0.002,0,0,18,0.8417299824663943,0
0.44023709512674536,0.002,0,0,20,0.8417299824663943,0
0.3707074813680025,0.03,0,0,5,0.8417299824663943,0
0.3707074813680025,0.001,1,0,22,0.8417299824663943,0
0.3707074813680025,0.002,0,0,19,0.8417299824663943,0
0.3707074813680025,0.003,0,0,17,0.8417299824663943,0
0.3707074813680025,0.021,0,0,7,0.8417299824663943,0
0.3707074813680025,0.0,1,0,26,0.8417299824663943,0
0.3707074813680025,0.012,0,0,8,0.8417299824663943,0
0.3508565694495952,0.003,0,0,15,0.8417299824663943,0
0.12299152269900053,0.102,0,0,2,0.8417299824663943,0
