rank_index,time,class,failures,ranking,nfpa,failure_metric
0.5083425198965407,0.004,0,0,28,0.8138893332622337,0.6409574468085106
0.508325601493598,0.0,1,0,70,0.8138893332622337,0.6409574468085106
0.5082847946951996,0.004,0,0,29,0.8138893332622337,0.6409574468085106
0.5082729887589763,0.003,0,0,37,0.8138893332622337,0.6409574468085106
0.5082708968334135,0.002,0,0,45,0.8138893332622337,0.6409574468085106
0.5082662116676142,0.003,0,0,32,0.8138893332622337,0.6409574468085106
0.5082632475215361,0.002,0,0,51,0.8138893332622337,0.6409574468085106
0.508262839460638,0.002,0,0,40,0.8138893332622337,0.6409574468085106
0.5082433627532299,0.0,1,0,66,0.8138893332622337,0.6409574468085106
0.5082430415583575,0.002,0,0,39,0.8138893332622337,0.6409574468085106
0.5082422839504425,0.0,1,0,71,0.8138893332622337,0.6409574468085106
0.5082371540435251,0.002,0,0,46,0.8138893332622337,0.6409574468085106
0.5082350554043238,0.002,0,0,49,0.8138893332622337,0.6409574468085106
0.5082282310414179,0.0,1,0,72,0.8138893332622337,0.6409574468085106
0.5082262185007695,0.002,0,0,48,0.8138893332622337,0.6409574468085106
0.5082222020548377,0.002,0,0,54,0.8138893332622337,0.6409574468085106
0.5082015470234296,0.0,1,0,69,0.8138893332622337,0.6409574468085106
0.5081966778481251,0.0,1,0,73,0.8138893332622337,0.6409574468085106
0.5081854114845223,0.006,0,0,23,0.8138893332622337,0.6409574468085106
0.5081824600867327,0.0,1,0,63,0.8138893332622337,0.6409574468085106
0.5081740280514707,0.0,1,0,67,0.8138893332622337,0.6409574468085106
0.5081716138548571,0.022000000000000002,0,0,9,0.8138893332622337,0.6409574468085106
0.5081701437470301,0.002,0,0,50,0.8138893332622337,0.6409574468085106
0.5081654682697906,0.001,1,0,56,0.8138893332622337,0.6409574468085106
0.5081652841669817,0.001,1,0,59,0.8138893332622337,0.6409574468085106
0.5081642067922115,0.0,1,0,64,0.8138893332622337,0.6409574468085106
0.5081602885208548,0.015,2,1,79,0.8138893332622337,0.6409574468085106
0.5081570185976598,0.001,1,0,60,0.8138893332622337,0.6409574468085106
0.508149682785391,0.001,1,0,58,0.8138893332622337,0.6409574468085106
0.5081486512811246,0.004,0,0,27,0.8138893332622337,0.6409574468085106
0.5081406239039901,0.002,0,0,43,0.8138893332622337,0.6409574468085106
0.5081390626622193,0.121,0,0,2,0.8138893332622337,0.6409574468085106
0.5081285580044601,0.004,0,0,30,0.8138893332622337,0.6409574468085106
0.5081150921504065,0.0,1,0,62,0.8138893332622337,0.6409574468085106
0.5081143424669482,0.001,1,0,55,0.8138893332622337,0.6409574468085106
0.5081105950297601,0.018000000000000002,0,0,11,0.8138893332622337,0.6409574468085106
0.5081096034068541,0.002,0,0,47,0.8138893332622337,0.6409574468085106
