rank_index,time,class,failures,ranking,nfpa,failure_metric
0.5240528678033551,1.291,0,0,7,0.7000906070673514,0.9047619047619048
0.5240134586792475,1.63,0,0,6,0.7000906070673514,0.9047619047619048
0.524013167549379,0.16699999999999998,1,0,12,0.7000906070673514,0.9047619047619048
0.5240092189525547,38.985,0,0,3,0.7000906070673514,0.9047619047619048
0.5239742000901273,78.27600000000001,0,0,1,0.7000906070673514,0.9047619047619048
0.5239307781444396,5.431,0,0,5,0.7000906070673514,0.9047619047619048
0.5239203876382619,0.003,1,0,19,0.7000906070673514,0.9047619047619048
0.5239011475324349,0.008,1,0,18,0.7000906070673514,0.9047619047619048
0.5238860367918554,0.13699999999999998,1,0,13,0.7000906070673514,0.9047619047619048
0.5238754547305072,0.826,0,0,8,0.7000906070673514,0.9047619047619048
0.5238616305543029,0.696,0,0,9,0.7000906070673514,0.9047619047619048
0.5238476316666519,0.292,1,0,11,0.7000906070673514,0.9047619047619048
0.5238045859389872,0.376,1,0,10,0.7000906070673514,0.9047619047619048
0.5237905599438076,0.047,1,0,16,0.7000906070673514,0.9047619047619048
0.5237836615223566,0.001,1,0,20,0.7000906070673514,0.9047619047619048
0.5237055796282118,0.021,1,0,17,0.7000906070673514,0.9047619047619048
0.5236435103660093,0.098,1,0,14,0.7000906070673514,0.9047619047619048
0.5233572143765476,0.076,1,0,15,0.7000906070673514,0.9047619047619048
0.5232857701356958,0.006999999999999999,3,1,21,0.7000906070673514,0.9047619047619048
0.5230410193512368,51.809,0,0,2,0.7000906070673514,0.9047619047619048
0.5228435002246369,6.584,0,0,4,0.7000906070673514,0.9047619047619048
rank_index,time,class,failures,ranking,nfpa,failure_metric
0.5240199394526815,1.21,0,0,7,0.6457263666565993,0.9047619047619048
0.5240136483393599,1.615,0,0,6,0.6457263666565993,0.9047619047619048
0.524009239948764,38.415,0,0,2,0.6457263666565993,0.9047619047619048
0.5240066714830156,0.204,1,0,11,0.6457263666565993,0.9047619047619048
0.5239720807877178,77.074,0,0,1,0.6457263666565993,0.9047619047619048
0.5239547502733503,0.929,0,0,8,0.6457263666565993,0.9047619047619048
0.52391952506866,5.457000000000001,0,0,4,0.6457263666565993,0.9047619047619048
0.5238512713543237,0.35200000000000004,1,0,9,0.6457263666565993,0.9047619047619048
0.5238104830021901,0.002,1,0,19,0.6457263666565993,0.9047619047619048
0.5238017299607277,0.212,1,0,10,0.6457263666565993,0.9047619047619048
0.5237969628675848,0.023,1,0,16,0.6457263666565993,0.9047619047619048
0.5237286478289006,0.003,1,0,18,0.6457263666565993,0.9047619047619048
0.5236868092457209,1.6740000000000002,0,0,5,0.6457263666565993,0.9047619047619048
0.5236857930795005,0.009000000000000001,1,0,17,0.6457263666565993,0.9047619047619048
0.5236772684872605,0.13699999999999998,1,0,12,0.6457263666565993,0.9047619047619048
0.5236425570099156,0.044000000000000004,1,0,15,0.6457263666565993,0.9047619047619048
0.5235550357396178,0.001,3,1,21,0.6457263666565993,0.9047619047619048
0.5233827715628371,0.068,1,0,14,0.6457263666565993,0.9047619047619048
0.5233078348381855,0.10300000000000001,1,0,13,0.6457263666565993,0.9047619047619048
0.5231840592642797,11.343,0,0,3,0.6457263666565993,0.9047619047619048
0.5230083148253627,41.343999999999994,2,2,20,0.6457263666565993,0.9047619047619048
rank_index,time,class,failures,ranking,nfpa,failure_metric
0.5240540837361656,1.202,0,0,8,0.7058290546662642,0.8571428571428571
0.5240139742126572,0.203,1,0,12,0.7058290546662642,0.8571428571428571
0.5240136554678477,1.656,0,0,7,0.7058290546662642,0.8571428571428571
0.5240091392786309,38.579,0,0,3,0.7058290546662642,0.8571428571428571
0.5239737823663431,77.133,0,0,1,0.7058290546662642,0.8571428571428571
0.5239320236937649,5.507000000000001,0,0,5,0.7058290546662642,0.8571428571428571
0.52392811467939,0.004,1,0,19,0.7058290546662642,0.8571428571428571
0.523909486150339,0.009000000000000001,1,0,18,0.7058290546662642,0.8571428571428571
0.5238961192757098,1.785,0,0,6,0.7058290546662642,0.8571428571428571
0.5238939597217009,0.146,1,0,13,0.7058290546662642,0.8571428571428571
0.5238691389394045,0.929,0,0,9,0.7058290546662642,0.8571428571428571
0.5238510348371141,0.34600000000000003,1,0,10,0.7058290546662642,0.8571428571428571
0.5238022583218971,0.221,1,0,11,0.7058290546662642,0.8571428571428571
0.5237970337463603,0.044000000000000004,1,0,16,0.7058290546662642,0.8571428571428571
0.523783451072188,0.001,1,0,20,0.7058290546662642,0.8571428571428571
0.5237249730646725,0.10300000000000001,1,0,14,0.7058290546662642,0.8571428571428571
0.5236991753145235,0.024,1,0,17,0.7058290546662642,0.8571428571428571
0.5234088277414234,0.01,3,1,21,0.7058290546662642,0.8571428571428571
0.5233800215410118,0.065,1,0,15,0.7058290546662642,0.8571428571428571
0.5232229748088685,11.317,0,0,4,0.7058290546662642,0.8571428571428571
0.522982897110818,53.985,0,0,2,0.7058290546662642,0.8571428571428571
rank_index,time,class,failures,ranking,nfpa,failure_metric
0.5240597097991544,0.046,1,0,17,0.699725850669247,0.5384615384615384
0.5240569181303844,0.125,1,0,15,0.699725850669247,0.5384615384615384
0.524053829757984,1.365,0,0,9,0.699725850669247,0.5384615384615384
0.524013755802364,0.158,1,0,14,0.699725850669247,0.5384615384615384
0.5240135759399179,1.6019999999999999,0,0,8,0.699725850669247,0.5384615384615384
0.5240093602705334,45.178000000000004,0,0,3,0.699725850669247,0.5384615384615384
0.5239930925728085,5.405,0,0,6,0.699725850669247,0.5384615384615384
0.5239743050032113,76.406,0,0,1,0.699725850669247,0.5384615384615384
0.5239538194504177,0.71,0,0,10,0.699725850669247,0.5384615384615384
0.5239314840605331,5.629,0,0,5,0.699725850669247,0.5384615384615384
0.5239070057698116,0.009000000000000001,1,0,22,0.699725850669247,0.5384615384615384
0.5238939549570404,1.651,0,0,7,0.699725850669247,0.5384615384615384
0.5238916439428445,0.162,1,0,13,0.699725850669247,0.5384615384615384
0.5238857344935633,0.247,3,2,26,0.699725850669247,0.5384615384615384
0.5238569336454407,0.016,1,0,21,0.699725850669247,0.5384615384615384
0.5238498382264277,0.316,1,0,11,0.699725850669247,0.5384615384615384
0.5238029642223468,0.222,1,0,12,0.699725850669247,0.5384615384615384
0.5237951010117026,0.043,1,0,18,0.699725850669247,0.5384615384615384
0.5237348277741966,0.021,1,0,19,0.699725850669247,0.5384615384615384
0.5237011231856676,0.02,1,0,20,0.699725850669247,0.5384615384615384
0.5236136079370034,0.001,1,0,24,0.699725850669247,0.5384615384615384
0.5235347369516197,0.001,1,0,23,0.699725850669247,0.5384615384615384
0.5234329804129662,0.0,1,0,25,0.699725850669247,0.5384615384615384
0.523424608733494,0.07,1,0,16,0.699725850669247,0.5384615384615384
0.523156217142729,12.69,0,0,4,0.699725850669247,0.5384615384615384
0.5229509293593739,60.669,0,0,2,0.699725850669247,0.5384615384615384
rank_index,time,class,failures,ranking,nfpa,failure_metric
0.5240579564738909,0.044000000000000004,1,0,16,0.6544105789388808,0.5576923076923077
0.524051572022117,1.3019999999999998,0,0,7,0.6544105789388808,0.5576923076923077
0.5240493555770975,0.121,1,0,13,0.6544105789388808,0.5576923076923077
0.5240131866280896,1.675,0,0,6,0.6544105789388808,0.5576923076923077
0.5240121629303985,0.355,1,0,9,0.6544105789388808,0.5576923076923077
0.5240094026661852,41.135,0,0,2,0.6544105789388808,0.5576923076923077
0.5239878206594026,5.428999999999999,0,0,4,0.6544105789388808,0.5576923076923077
0.5239765430021638,76.77199999999999,2,1,25,0.6544105789388808,0.5576923076923077
0.5239615757877483,0.71,0,0,8,0.6544105789388808,0.5576923076923077
0.5239279627161816,5.5520000000000005,0,0,3,0.6544105789388808,0.5576923076923077
0.5238915146507127,0.009000000000000001,1,0,20,0.6544105789388808,0.5576923076923077
0.5238811564412946,1.7080000000000002,0,0,5,0.6544105789388808,0.5576923076923077
0.5238769593382271,0.14800000000000002,1,0,12,0.6544105789388808,0.5576923076923077
0.5238436468575979,0.276,1,0,10,0.6544105789388808,0.5576923076923077
0.5238075610465139,0.024,1,0,17,0.6544105789388808,0.5576923076923077
0.5238072822465966,0.191,1,0,11,0.6544105789388808,0.5576923076923077
0.5237832540384105,0.044000000000000004,1,0,15,0.6544105789388808,0.5576923076923077
0.5237126601028064,0.02,1,0,18,0.6544105789388808,0.5576923076923077
0.5234197879931574,0.0,1,0,24,0.6544105789388808,0.5576923076923077
0.5233834645063895,0.055,1,0,14,0.6544105789388808,0.5576923076923077
0.5231333527631314,11.814,2,12,26,0.6544105789388808,0.5576923076923077
0.5231185757719518,0.004,1,0,21,0.6544105789388808,0.5576923076923077
0.5229608590502697,0.018000000000000002,1,0,19,0.6544105789388808,0.5576923076923077
0.5229178686740596,174.639,0,0,1,0.6544105789388808,0.5576923076923077
0.5223093559272021,0.001,1,0,22,0.6544105789388808,0.5576923076923077
0.5222773114935336,0.0,1,0,23,0.6544105789388808,0.5576923076923077
rank_index,time,class,failures,ranking,nfpa,failure_metric
0.5240597302862618,0.042,1,0,19,0.7160037002775208,1.0
0.5240570316343743,0.12,1,0,17,0.7160037002775208,1.0
0.5240539036571629,1.27,0,0,9,0.7160037002775208,1.0
0.5240261927388641,5.172000000000001,0,0,5,0.7160037002775208,1.0
0.5240135551025644,0.534,0,0,13,0.7160037002775208,1.0
0.5240135093349092,2.325,0,0,7,0.7160037002775208,1.0
0.5240093926748437,35.952,0,0,2,0.7160037002775208,1.0
0.5240079657167056,0.775,0,0,10,0.7160037002775208,1.0
0.524005342054954,0.011000000000000001,1,0,22,0.7160037002775208,1.0
0.5239911113936849,5.131,0,0,6,0.7160037002775208,1.0
0.5239536108404746,0.718,0,0,11,0.7160037002775208,1.0
0.5239384274501497,76.66,0,0,1,0.7160037002775208,1.0
0.523930499280856,5.486000000000001,0,0,4,0.7160037002775208,1.0
0.5239073751860259,0.012,1,0,21,0.7160037002775208,1.0
0.5238942714581174,1.64,0,0,8,0.7160037002775208,1.0
0.5238919604744587,0.134,1,0,16,0.7160037002775208,1.0
0.523848920263145,0.626,0,0,12,0.7160037002775208,1.0
0.5238025296945461,0.366,1,0,14,0.7160037002775208,1.0
0.5237952546826327,0.141,1,0,15,0.7160037002775208,1.0
0.5237008136707823,0.022000000000000002,1,0,20,0.7160037002775208,1.0
0.5234248445645459,0.1,1,0,18,0.7160037002775208,1.0
0.5230971095370851,12.770999999999999,0,0,3,0.7160037002775208,1.0
0.5229349908121664,59.828,2,1,23,0.7160037002775208,1.0
