cycle_id,num_testsuite,NORMALIZED_FPA,accuracy,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%,prediction_time,learning_time,failure_metric
520a90cd2d3da4461981c64168335956dee1ab70,25,0.7609049773755654,0.2,0,183.23699999999997,0,0,0.014,44.547000000000004,0,0,0.28500000000000003,95.91799999999999,0,0,2.383,173.39399999999998,0.0011479854583740234,0.03347659111022949,0.42236024844720493
ce4e287b9887bc02c0b64bd835911318ee4d6a30,8,0.75,0.25,0,87.238,0,0,0.11300000000000002,5.862,0,0,0.6769999999999999,7.539000000000001,0,0,3.117,7.972,0.0011436939239501953,0.7254555225372314,0.42236024844720493
0f93c9c4702d09bc62edefaafa942de17fab9cad,17,0.7736694677871147,0.8235294117647058,0,135.58299999999997,0,0,0.08099999999999999,12.655999999999999,0,0,0.589,53.998000000000005,0,0,3.2170000000000005,55.99100000000001,0.0011453628540039062,0.7456691265106201,0.42236024844720493
bc9a2eadae0ed29d8e7c1b84334bb0b7448fb16a,26,0.7885824866956943,0.9615384615384616,0,185.09900000000002,0,0,0.019,13.052999999999999,0,0,0.21000000000000002,13.899,0,0,1.462,53.37100000000001,0.0013210773468017578,0.9738450050354004,0.42236024844720493
946906fa75640fe86ef47f4224753ced947d704e,18,0.8283546704599337,0.8333333333333334,0,136.498,0,0,0.09,0.777,0,0,0.5569999999999999,8.475999999999999,0,0,2.602,56.091,0.001373291015625,1.41219162940979,0.42236024844720493
285689c0b8064922e4f9fac46d46f62020f08de0,24,0.7363265306122451,0.9166666666666666,0,184.865,0,0,0.028999999999999998,57.486000000000004,0,0,0.41800000000000004,65.50200000000001,0,0,4.055,105.732,0.001897573471069336,0.04466891288757324,0.42236024844720493
365ff75ff55bcd6923b17dfae1424682e82136f1,19,0.8344129554655869,0.3157894736842105,0,184.73399999999998,0,0,0.07400000000000001,2.9910000000000005,0,0,0.605,3.2930000000000006,0,0,2.6310000000000002,60.669999999999995,0.0018072128295898438,1.377777338027954,0.42236024844720493
23a3e65e042b71d28b9a19ddef68cf6424eff05d,21,0.7641196013289038,0.8571428571428571,1,186.761,1,1,0.04,7.561999999999999,1,1,0.565,53.32,1,1,4.045999999999999,183.83100000000002,0.0021038055419921875,1.4983491897583008,0.42236024844720493
f6d8ca7625db82bba378fea98c8d03e5d84d729b,18,0.797534376481745,0.8888888888888888,0,136.986,0,0,0.079,42.022999999999996,0,0,0.569,42.42400000000001,0,0,2.572,129.294,0.0018301010131835938,1.361900806427002,0.42236024844720493
c3f0ccfdeb6a416879556fb28e29efe7bde0afb7,18,0.7117117117117117,0.8888888888888888,0,136.30200000000002,0,0,0.084,84.18900000000001,0,0,0.5680000000000001,86.679,0,0,2.464,134.038,0.0020427703857421875,0.30528688430786133,0.42236024844720493
48bd1a230d7e85dc0ad44aedd37e918cf72ee440,24,0.8324489795918368,0.9166666666666666,0,185.901,0,0,0.031,1.9489999999999998,0,0,0.43400000000000005,42.071999999999996,0,0,4.077,54.392999999999994,0.001863718032836914,1.666172742843628,0.42236024844720493
b5b2bbfaef1857ffd4585b95203fcb906c8d6f37,18,0.8383119962067331,0.8888888888888888,0,137.19700000000003,0,0,0.094,2.998,0,0,0.604,4.483,0,0,2.639,82.846,0.0013275146484375,1.5032169818878174,0.42236024844720493
0d38d7a02700e8dca0ab23530c307debd1c66d72,15,0.7379032258064516,0.7333333333333333,0,188.82599999999996,0,0,0.164,89.66699999999999,0,0,0.687,96.01499999999999,0,0,3.561,97.92899999999999,0.0018668174743652344,0.9142642021179199,0.42236024844720493
e59eb1c2b417f8dfd522b0200028b54212bb3dce,21,0.8000604047115677,0.9047619047619048,0,190.84400000000002,0,0,0.036000000000000004,1.8610000000000002,0,0,0.6000000000000001,42.443000000000005,0,0,3.839,183.484,0.0019140243530273438,2.67923641204834,0.42236024844720493
daaf6739cf536dffb8c6c15a51a1e55f9bca63dd,19,0.7748987854251009,0.8947368421052632,0,190.28799999999998,0,0,0.07400000000000001,10.886000000000001,0,0,0.6,66.283,0,0,2.903,144.89,0.0018377304077148438,1.5422351360321045,0.42236024844720493
d82b61930727b8468fd74a3dca22951768880505,22,0.7164690382081687,0.8636363636363636,0,196.30799999999994,0,0,0.075,18.08,0,0,0.686,153.609,0,0,4.13,193.94899999999998,0.0019426345825195312,2.212214946746826,0.42236024844720493
3cc54a1def3c0425164579abe238c955c4cdcf50,8,0.8137254901960783,0.75,0,88.486,0,0,0.083,1.225,0,0,0.744,3.143,0,0,3.552,88.077,0.0014004707336425781,1.0654418468475342,0.42236024844720493
67723a52184412b02558073713c171c3e87ca932,6,0.7472527472527473,0.6666666666666666,0,87.062,0,0,0.078,79.507,0,0,0.393,79.861,0,0,0.747,79.93900000000001,0.0012824535369873047,1.9681730270385742,0.42236024844720493
b3277e8921ff4232925fc483c4040080ab7c0d34,18,0.7297297297297298,0.8888888888888888,0,141.849,0,0,0.093,2.011,0,0,0.6539999999999999,16.121,0,0,2.738,100.115,0.001504659652709961,1.0761568546295166,0.42236024844720493
7d70fc7db447238fd5c45b75f9e90a608c496830,19,0.8109311740890688,0.8947368421052632,0,141.91,0,0,0.027,1.933,0,0,0.447,13.394999999999998,0,0,2.101,132.361,0.0018706321716308594,0.8639421463012695,0.42236024844720493
6689b114a1f55e770c10ea8cf34dcce9c55d2d0d,12,0.8353846153846154,0.8333333333333334,0,192.63699999999997,0,0,0.366,83.72699999999999,0,0,2.557,85.684,0,0,24.054000000000002,138.795,0.0018167495727539062,3.078267812728882,0.42236024844720493
d57909ea8f329dbfbd278107368d70a99d9233b8,12,0.7892307692307691,0.75,0,193.768,0,0,0.362,11.447999999999999,0,0,2.52,71.223,0,0,24.089999999999996,110.225,0.002017498016357422,0.33894896507263184,0.42236024844720493
f9734f166b60d22c362a8a6bcdd997c7ffab09e9,12,0.7753846153846152,0.6666666666666666,0,193.686,0,0,0.412,54.659,0,0,2.542,76.816,0,0,24.699,155.37,0.0020139217376708984,1.0718810558319092,0.42236024844720493
f612fb4ed34455a96ba8b254556cd02ddd3cb0f9,9,0.6736842105263158,0.8888888888888888,0,98.52499999999999,0,0,0.11399999999999999,83.524,0,0,0.6990000000000001,85.705,0,0,3.431,97.543,0.0020058155059814453,0.8726096153259277,0.42236024844720493
aecc4a114b5a8872a6cbdf031c714088371a0500,21,0.8773784355179706,0.7619047619047619,3,180.219,3,3,41.358999999999995,42.57999999999999,3,3,41.733999999999995,48.498,3,3,44.641,90.557,0.0020351409912109375,2.0648300647735596,0.42236024844720493
