cycle_id,num_testsuite,NORMALIZED_FPA,accuracy,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%,prediction_time,learning_time,failure_metric
657f85e89690550bc82aaf38fb467a906816699d,16,0.7553475935828877,0.0625,0,4.074,0,0,0.012,1.03,0,0,0.14600000000000002,1.8169999999999997,0,0,1.269,2.5749999999999997,0.0010340213775634766,0.02161693572998047,0.5267560248542045
f8f063773a4b5af37e9f6ede7f1fb1e944571068,76,0.7821291195904198,0.39473684210526316,0,4.476,0,0,0.0,1.2220000000000002,0,0,0.026,2.084,0,0,0.16100000000000003,3.7010000000000005,0.0010936260223388672,0.7348871231079102,0.5267560248542045
b3af33ccf9a3d6e08c49aa02b0f0d8e84cfe9c84,77,0.7298443491991881,0.7272727272727273,0,7.253,0,0,0.0,1.3149999999999997,0,0,0.016,5.694999999999999,0,0,0.105,7.2010000000000005,0.002840280532836914,0.809990406036377,0.5267560248542045
ffd720216f319236cf7b319bbe6d577fdfaba521,77,0.7736972704714644,0.8441558441558441,0,6.926,0,0,0.0,0.5510000000000002,0,0,0.007,6.052,0,0,0.089,6.317,0.0011653900146484375,0.026932477951049805,0.5267560248542045
de97a4db61e64e659c978a1c03117535103137af,77,0.7873545809029682,0.4155844155844156,0,6.817,0,0,0.0,0.082,0,0,0.004,0.6040000000000001,0,0,0.096,3.075,0.00116729736328125,0.5594725608825684,0.5267560248542045
7016f3baa310a472be64ba55f374271d29915ce9,11,0.7984189723320159,0.7272727272727273,0,11.41,0,0,0.0,0.08900000000000001,0,0,0.003,1.2279999999999998,0,0,0.083,1.6249999999999998,0.0010960102081298828,0.6253063678741455,0.5267560248542045
4efbd1cd1e8c64436df73d10c30ccab2cec2c772,9,0.8350877192982457,0.7777777777777778,0,12.765999999999998,0,0,0.002,1.018,0,0,0.045,1.5650000000000002,0,0,0.281,1.6460000000000001,0.001463174819946289,0.5496780872344971,0.5267560248542045
5fb9b3c73dd85a7c7293ce8dd99498efbf384cf0,9,0.8210526315789475,0.7777777777777778,0,11.922999999999998,0,0,0.002,1.335,0,0,0.046,1.339,0,0,0.28600000000000003,11.388,0.0010845661163330078,0.5241315364837646,0.5267560248542045
67dc13d83604d2ad28faca975fd8cdb87602c542,9,0.7789473684210525,0.8888888888888888,0,11.28,0,0,0.0,0.017,0,0,0.017,0.222,0,0,0.22199999999999998,10.741999999999999,0.001065969467163086,0.5893213748931885,0.5267560248542045
3772436140b3d2bd87e2d43fa9bf1400c7d763f5,9,0.8385964912280703,0.6666666666666666,0,12.43,0,0,0.001,0.5329999999999999,0,0,0.032,1.521,0,0,0.243,1.6239999999999999,0.0010609626770019531,0.6515119075775146,0.5267560248542045
62e105751811c7efbf1ef856b664a38ff4928acb,9,0.7999999999999998,0.8888888888888888,0,12.815000000000001,0,0,0.0,0.174,0,0,0.025,0.175,0,0,0.246,12.347999999999999,0.0010616779327392578,0.16605329513549805,0.5267560248542045
92df2471329ab4caf9e9afcb91487aa6cfe93872,9,0.6456140350877192,0.6666666666666666,0,12.876000000000001,0,0,0.0,11.284,0,0,0.026000000000000002,12.283000000000001,0,0,0.242,12.813,0.0010786056518554688,0.2929537296295166,0.5267560248542045
1c5f5a18ae76e1c830a05fff9e8a262484c5204f,9,0.7614035087719297,0.7777777777777778,0,14.098,0,0,0.002,0.128,0,0,0.044,0.6890000000000001,0,0,0.267,13.969,0.001458883285522461,0.3153197765350342,0.5267560248542045
e6f5b6fbb61ff85db0827793cc02db8ed9b7af2a,9,0.7298245614035086,0.7777777777777778,0,12.799,0,0,0.001,0.652,0,0,0.036,0.8450000000000001,0,0,0.308,1.875,0.0010619163513183594,0.24811077117919922,0.5267560248542045
56243f924eac44480bb850339f87c3e667dfb35c,55,0.7472446472446471,0.6363636363636364,0,11.09,0,0,0.007,8.115,0,0,0.051,8.258000000000001,0,0,0.16100000000000003,9.076000000000002,0.0011186599731445312,0.7088525295257568,0.5267560248542045
a4dd1d9ac5318f7dd5278694b8010b2e5b7111f1,55,0.730870480870481,0.7272727272727273,0,10.696999999999997,0,0,0.002,8.968,0,0,0.038000000000000006,10.299999999999997,0,0,0.14300000000000002,10.477999999999998,0.0011076927185058594,0.25975918769836426,0.5267560248542045
71fbc8ad386e3c1bead9680df8def8b1680a8449,11,0.8478260869565218,0.8181818181818182,0,9.916,0,0,0.0,0.012,0,0,0.006,0.02,0,0,0.016,0.138,0.0010824203491210938,0.5548403263092041,0.5267560248542045
4172478abd06e32fd0a95c47dac916ee36a6c5d4,11,0.7055335968379448,0.9090909090909091,0,9.798,0,0,0.0,0.008,0,0,0.006,0.984,0,0,0.014,1.011,0.001070261001586914,0.039441585540771484,0.5267560248542045
954f2588a42fe3171123f27c26b14d0958e4b4fd,11,0.7687747035573124,0.9090909090909091,0,9.579,0,0,0.0,1.319,0,0,0.01,1.3389999999999997,0,0,0.020999999999999998,1.3389999999999997,0.0010728836059570312,0.7793879508972168,0.5267560248542045
d6c316fdca8e4c7f7ee162699d4e62fac64fd969,74,0.712381643388355,0.7027027027027027,66,11.798000000000002,66,23,1.244,0.457,66,26,1.244,10.168000000000001,66,63,1.2859999999999994,10.295,0.0015153884887695312,0.3629593849182129,0.5267560248542045
