experiment;step;policy;reward_function;sched_time;sched_time_duration;total_build_duration;prioritization_time;detected;missed;tests_ran;tests_not_ran;ttf;ttf_duration;time_reduction;napfd/apfd;cost;rewards;avg_precision;prioritization_order;ddp;nrpa;ntr
1;11;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;12.430000000000001;12.430000000000001;0.03524327278137207;0;0;9;0;-1;12.43;1.7763568394002505e-15;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.6491228070175438;1.4290883663718827e-16
1;12;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;12.815;12.815;0.035317182540893555;0;0;9;0;-1;12.815;0.0;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.6596491228070174;0.0
1;13;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;12.876000000000001;12.876000000000001;0.035198211669921875;0;0;9;0;-1;12.876;1.7763568394002505e-15;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.6736842105263158;1.3795874801182435e-16
1;14;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;14.098;14.098;0.035509347915649414;0;0;9;0;-1;14.098;0.0;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.6491228070175438;0.0
1;15;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;12.799;12.799;0.03527688980102539;0;0;9;0;-1;12.799;0.0;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.656140350877193;0.0
1;16;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;11.090000000000002;11.090000000000002;0.5499887466430664;0;0;55;0;-1;11.090000000000002;0.0;1;1;0.0;1;[87, 88, 1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.7610214110214113;0.0
1;17;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;10.697;10.697;0.5448391437530518;0;0;55;0;-1;10.696999999999997;1.7763568394002505e-15;1;1;0.0;1;[1, 2, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 66, 67, 68, 79, 87, 86, 85, 84, 83, 82, 81, 80, 78, 69, 77, 76, 75, 74, 73, 72, 71, 70, 46, 45, 44, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 22, 10, 9, 8, 7, 6, 5, 4, 3, 21, 23, 43, 34, 42, 41, 40, 39, 38, 37, 36, 35, 33, 24, 32, 31, 30, 29, 28, 27, 26, 25, 88];-1;0.7569849069849072;1.660612171076237e-16
1;18;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;9.916;9.916;0.04341459274291992;0;0;11;0;-1;9.916;0.0;1;1;0.0;1;[1, 2, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 66, 67, 68, 79, 87, 86, 85, 84, 83, 82, 81, 80, 78, 69, 77, 76, 75, 74, 73, 72, 71, 70, 46, 45, 44, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 22, 10, 9, 8, 7, 6, 5, 4, 3, 21, 23, 43, 34, 42, 41, 40, 39, 38, 37, 36, 35, 33, 24, 32, 31, 30, 29, 28, 27, 26, 25, 88];-1;0.782608695652174;0.0
1;19;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;9.798;9.798;0.04481220245361328;0;0;11;0;-1;9.798;0.0;1;1;0.0;1;[1, 2, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 66, 67, 68, 79, 87, 86, 85, 84, 83, 82, 81, 80, 78, 69, 77, 76, 75, 74, 73, 72, 71, 70, 46, 45, 44, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 22, 10, 9, 8, 7, 6, 5, 4, 3, 21, 23, 43, 34, 42, 41, 40, 39, 38, 37, 36, 35, 33, 24, 32, 31, 30, 29, 28, 27, 26, 25, 88];-1;0.782608695652174;0.0
1;20;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;9.578999999999999;9.578999999999999;0.04420280456542969;0;0;10;1;-1;9.579;-1.7763568394002505e-15;1;1;0.0;1;[1, 2, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 66, 67, 68, 79, 87, 86, 85, 84, 83, 82, 81, 80, 78, 69, 77, 76, 75, 74, 73, 72, 71, 70, 46, 45, 44, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 22, 10, 9, 8, 7, 6, 5, 4, 3, 21, 23, 43, 34, 42, 41, 40, 39, 38, 37, 36, 35, 33, 24, 32, 31, 30, 29, 28, 27, 26, 25, 88];-1;0.7845849802371541;-1.8544282695482313e-16
