rank_index,time,class,failures,ranking,nfpa,DDP
3.3996565341949463,0.0,3,1.0,175,0.8828316128316126,0.08337131434282859
3.3996565341949463,0.0,3,1.0,174,0.8828316128316126,0.08337131434282859
3.3249971866607666,0.0,3,1.0,173,0.8828316128316126,0.08337131434282859
3.3249971866607666,0.001,3,1.0,168,0.8828316128316126,0.08337131434282859
3.3249971866607666,0.014,2,1.0,157,0.8828316128316126,0.08337131434282859
3.3249971866607666,0.004,2,1.0,165,0.8828316128316126,0.08337131434282859
3.3249971866607666,0.002,2,1.0,166,0.8828316128316126,0.08337131434282859
3.3249971866607666,0.058,2,1.0,153,0.8828316128316126,0.08337131434282859
3.3249971866607666,0.0,3,1.0,170,0.8828316128316126,0.08337131434282859
3.0509107112884517,0.001,3,1.0,167,0.8828316128316126,0.08337131434282859
2.0412261486053467,0.004,0,0.0,42,0.8828316128316126,0.08337131434282859
2.0412261486053467,0.0,1,0.0,112,0.8828316128316126,0.08337131434282859
2.0412261486053467,0.0,1,0.0,149,0.8828316128316126,0.08337131434282859
-1.5125088691711426,0.0,3,1.0,171,0.8828316128316126,0.08337131434282859
-1.5125088691711426,0.001,3,1.0,169,0.8828316128316126,0.08337131434282859
-1.5582690238952637,0.005,2,1.0,164,0.8828316128316126,0.08337131434282859
-1.5582690238952637,0.006,2,1.0,161,0.8828316128316126,0.08337131434282859
-1.6927082538604736,0.009000000000000001,2,1.0,159,0.8828316128316126,0.08337131434282859
-1.8816636800765991,0.0,3,1.0,172,0.8828316128316126,0.08337131434282859
-1.8946510553359983,0.006,2,1.0,162,0.8828316128316126,0.08337131434282859
-1.9124168157577517,0.012,2,1.0,158,0.8828316128316126,0.08337131434282859
-2.368485927581787,0.021,2,1.0,155,0.8828316128316126,0.08337131434282859
-2.7962803840637207,0.0,1,0.0,99,0.8828316128316126,0.08337131434282859
-2.7962803840637207,0.003,0,0.0,50,0.8828316128316126,0.08337131434282859
-2.7962803840637207,0.001,1,0.0,72,0.8828316128316126,0.08337131434282859
-2.7962803840637207,0.0,1,0.0,89,0.8828316128316126,0.08337131434282859
-2.892199277877808,0.009000000000000001,0,0.0,27,0.8828316128316126,0.08337131434282859
-2.9706473350524902,0.0,1,0.0,116,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,106,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,111,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,109,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,107,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,85,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,104,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,103,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,102,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,100,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,91,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,83,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,84,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,87,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,94,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,105,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,131,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,134,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.005,0,0.0,33,0.8828316128316126,0.08337131434282859
-2.976479768753052,0.0,1,0.0,144,0.8828316128316126,0.08337131434282859
-2.9800794124603267,0.005,2,1.0,163,0.8828316128316126,0.08337131434282859
-2.999962568283081,0.037000000000000005,0,0.0,7,0.8828316128316126,0.08337131434282859
-2.999962568283081,0.004,0,0.0,44,0.8828316128316126,0.08337131434282859
-3.0004050731658936,0.0,1,0.0,118,0.8828316128316126,0.08337131434282859
-3.0004050731658936,0.0,1,0.0,121,0.8828316128316126,0.08337131434282859
-3.0057950019836426,0.0,1,0.0,126,0.8828316128316126,0.08337131434282859
-3.005854845046997,0.004,0,0.0,43,0.8828316128316126,0.08337131434282859
-3.005854845046997,0.002,0,0.0,57,0.8828316128316126,0.08337131434282859
-3.0407602787017822,0.019,2,1.0,156,0.8828316128316126,0.08337131434282859
-3.0482773780822754,0.0,1,0.0,122,0.8828316128316126,0.08337131434282859
-3.055107593536377,0.0,1,0.0,142,0.8828316128316126,0.08337131434282859
-3.055107593536377,0.0,1,0.0,145,0.8828316128316126,0.08337131434282859
-3.055107593536377,0.002,0,0.0,62,0.8828316128316126,0.08337131434282859
-3.0585711002349854,0.037000000000000005,2,1.0,154,0.8828316128316126,0.08337131434282859
-3.0585711002349854,0.008,2,1.0,160,0.8828316128316126,0.08337131434282859
-3.0609402656555176,0.0,1,0.0,147,0.8828316128316126,0.08337131434282859
-3.0609402656555176,0.063,0,0.0,3,0.8828316128316126,0.08337131434282859
-3.0609402656555176,0.0,1,0.0,136,0.8828316128316126,0.08337131434282859
-3.0609402656555176,0.001,1,0.0,73,0.8828316128316126,0.08337131434282859
-3.0609402656555176,0.002,0,0.0,64,0.8828316128316126,0.08337131434282859
-3.0609402656555176,0.0,1,0.0,124,0.8828316128316126,0.08337131434282859
-3.0609402656555176,0.001,1,0.0,78,0.8828316128316126,0.08337131434282859
-3.0609402656555176,0.062,0,0.0,4,0.8828316128316126,0.08337131434282859
-3.094622611999512,0.012,0,0.0,19,0.8828316128316126,0.08337131434282859
-3.1066999435424805,0.0,1,0.0,98,0.8828316128316126,0.08337131434282859
-3.1066999435424805,0.001,1,0.0,67,0.8828316128316126,0.08337131434282859
-3.1066999435424805,0.0,1,0.0,92,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.073,0,0.0,2,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,82,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,86,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.004,0,0.0,45,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.001,1,0.0,79,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.016,0,0.0,15,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.015,0,0.0,17,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.001,1,0.0,77,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.004,0,0.0,40,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.001,1,0.0,71,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.003,0,0.0,55,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.003,0,0.0,49,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.003,0,0.0,47,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.003,0,0.0,46,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,88,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,90,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,114,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,140,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,139,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,138,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,137,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,133,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,132,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,128,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,127,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,125,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,123,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,115,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,135,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,113,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,110,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,97,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,96,0.8828316128316126,0.08337131434282859
-3.1654348373413086,0.0,1,0.0,95,0.8828316128316126,0.08337131434282859
-3.184912919998169,0.032,0,0.0,9,0.8828316128316126,0.08337131434282859
-3.184912919998169,0.011,0,0.0,24,0.8828316128316126,0.08337131434282859
-3.1986272335052486,0.002,0,0.0,65,0.8828316128316126,0.08337131434282859
-3.1986272335052486,0.019,0,0.0,14,0.8828316128316126,0.08337131434282859
-3.1986272335052486,0.003,0,0.0,54,0.8828316128316126,0.08337131434282859
-3.1986272335052486,0.004,0,0.0,39,0.8828316128316126,0.08337131434282859
-3.1986272335052486,0.04,0,0.0,6,0.8828316128316126,0.08337131434282859
-3.1986272335052486,0.004,0,0.0,41,0.8828316128316126,0.08337131434282859
-3.1986272335052486,0.001,1,0.0,70,0.8828316128316126,0.08337131434282859
-3.1986272335052486,0.003,0,0.0,52,0.8828316128316126,0.08337131434282859
-3.2044596672058105,0.0,1,0.0,117,0.8828316128316126,0.08337131434282859
-3.2044596672058105,0.0,1,0.0,148,0.8828316128316126,0.08337131434282859
-3.204962015151977,0.0,1,0.0,101,0.8828316128316126,0.08337131434282859
-3.204962015151977,0.165,0,0.0,1,0.8828316128316126,0.08337131434282859
-3.204962015151977,0.0,1,0.0,120,0.8828316128316126,0.08337131434282859
-3.2447638511657715,0.009000000000000001,0,0.0,26,0.8828316128316126,0.08337131434282859
-3.2447638511657715,0.0,1,0.0,93,0.8828316128316126,0.08337131434282859
-3.2447638511657715,0.002,0,0.0,61,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.002,0,0.0,60,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.0,1,0.0,151,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.0,1,0.0,150,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.0,1,0.0,119,0.8828316128316126,0.08337131434282859
-3.2498950958251958,0.0,1,0.0,146,0.8828316128316126,0.08337131434282859
