step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.0;0.5491935483870968;-1.0;0;32117
2;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;0;31323
3;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;0;30693
4;bcel;DeepOrder;0.0;0.5824561403508772;-1.0;0;29878
5;bcel;DeepOrder;0.0;0.5789473684210527;-1.0;0;34261
6;bcel;DeepOrder;0.0;0.5369337979094077;-1.0;0;30344
7;bcel;DeepOrder;0.0;0.5483870967741935;-1.0;0;31809
8;bcel;DeepOrder;0.0;0.5491935483870968;-1.0;0;30387
9;bcel;DeepOrder;0.0;0.5671936758893281;-1.0;0;30051
10;bcel;DeepOrder;0.0;0.5517241379310345;-1.0;0;31199
11;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;0;28830
12;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;0;28037
13;bcel;DeepOrder;0.0;0.5652173913043479;-1.0;0;27956
14;bcel;DeepOrder;0.0;0.5929824561403508;-1.0;0;28043
15;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;0;34467
16;bcel;DeepOrder;0.0;0.5275515600211531;-1.0;0;28370
17;bcel;DeepOrder;0.0;0.526445423904589;-1.0;0;28868
18;bcel;DeepOrder;0.0;0.5267046927663988;-1.0;0;29768
19;bcel;DeepOrder;0.0;0.5652173913043479;-1.0;0;22249
20;bcel;DeepOrder;0.0;0.5428571428571428;-1.0;0;19037
21;bcel;DeepOrder;0.0;0.5652173913043479;-1.0;0;18683
22;bcel;DeepOrder;0.0;0.5384615384615384;-1.0;0;18701
23;bcel;DeepOrder;0.0;0.5491935483870968;-1.0;0;18559
24;bcel;DeepOrder;0.6875;0.8872549019607843;0.06249999999999999;0;18611
25;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;0;22263
26;bcel;DeepOrder;0.0;0.5491935483870968;-1.0;0;18436
27;bcel;DeepOrder;0.0;0.5483870967741935;-1.0;0;21571
28;bcel;DeepOrder;0.6555555555555556;0.7596774193548387;0.25454545454545446;0;18501
