Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
37,14,1.159,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.015137621893570609,0.001430615164520744,0.001723717399581192,0.11086838,7
27,18,0.828,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.010854430061418984,0.001430615164520744,0.0012314391776127927,0.10660684,8
36,13,0.479,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0063383154106005,0.001430615164520744,0.0007123905387397678,0.10211342,9
33,5,0.37799999999999995,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.005031359594747589,0.001430615164520744,0.0005621787549971445,0.10081299,10
30,8,0.188,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.002572729842152999,0.001430615164520744,0.000279602132114982,0.09836663,11
19,15,0.131,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0018351409163746214,0.001430615164520744,0.0001948291452503332,0.09763273,12
43,26,0.094,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0013563551224483072,0.001430615164520744,0.000139801066057491,0.09715631,13
22,4,0.087,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0012657740263000855,0.001430615164520744,0.00012939034837235866,0.09706618,14
34,17,0.08199999999999999,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0012010732433370699,0.001430615164520744,0.000121954121454407,0.0970018,15
31,11,0.040999999999999995,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0006705268230403432,0.001430615164520744,6.0977060727203515e-05,0.09647389,16
25,3,0.025,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0004634843175586934,0.001430615164520744,3.718113458975824e-05,0.09626788,17
42,25,0.022000000000000002,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0004246638477808841,0.001430615164520744,3.271939843898725e-05,0.09622925,18
41,24,0.013999999999999999,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.00032114259504005934,0.001430615164520744,2.0821435370264613e-05,0.09612623,19
24,1,0.008,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.00024350165548444068,0.001430615164520744,1.1897963068722635e-05,0.09604899,20
39,22,0.003,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.00017880087252142518,0.001430615164520744,4.461736150770988e-06,0.0959846,21
21,9,0.002,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.00016586071592882213,0.001430615164520744,2.9744907671806587e-06,0.09597173,22
38,21,0.001,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.000152920559336219,0.001430615164520744,1.4872453835903298e-06,0.09595886,23
40,23,0.0,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0001399804027436159,0.001430615164520744,0.0,0.09594598,24
32,20,0.0,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.0001399804027436159,0.001430615164520744,0.0,0.09594598,25
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
51,7,79.047,2018-08-30,"[0, 0, 0]",0,3,0,0,0,0,0,1.0,0.000715307582260372,0.11756228583666478,1.0741954,1
44,27,5.074,2018-08-30,"[0, 0, 0]",0,3,0,0,0,0,0,0.06432065442498963,0.000715307582260372,0.007546283076337331,0.15949643,2
46,10,1.652,2018-08-30,"[0, 0, 0]",0,3,0,0,0,0,0,0.021036013805335336,0.000715307582260372,0.0024569293736912247,0.116428554,3
45,28,0.7879999999999999,2018-08-30,"[0, 0, 0]",0,3,0,0,0,0,0,0.010107337740057341,0.000715307582260372,0.0011719493622691795,0.10555191,4
48,5,0.345,2018-08-30,"[0, 0, 0]",0,3,0,0,0,0,0,0.004503861470476147,0.000715307582260372,0.0005130996573386637,0.09997478,5
50,13,0.21899999999999997,2018-08-30,"[0, 0, 0]",0,3,0,0,0,0,0,0.002910096210956441,0.000715307582260372,0.00032570673900628216,0.09838845,6
49,17,0.08800000000000001,2018-08-30,"[0, 0, 0]",0,3,0,0,0,0,0,0.0012530862982811895,0.000715307582260372,0.000130877593755949,0.09673915,7
47,29,0.025,2018-08-30,"[0, 0, 0]",0,3,0,0,0,0,0,0.00045620366852133564,0.000715307582260372,3.718113458975824e-05,0.09594598,8
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
58,7,78.15899999999998,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,1.0,0.001430615164520744,0.11624161193603652,1.0741954,1
61,12,39.93,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.5109501312813175,0.001430615164520744,0.059385708166761864,0.6016322,2
64,6,6.702999999999999,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.08588905231206193,0.001430615164520744,0.009969005806205977,0.18120177,3
56,16,5.835,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.07478504001647962,0.001430615164520744,0.008678076813249573,0.17016114,4
60,10,1.739,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.022386382916588846,0.001430615164520744,0.0025863197220635827,0.11804281,5
66,14,1.2830000000000001,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.01655293866914007,0.001430615164520744,0.0019081358271463927,0.11223895,6
59,18,0.8290000000000001,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.010745079703478346,0.001430615164520744,0.0012329264229963832,0.10646026,7
67,5,0.297,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.003939394748121439,0.001430615164520744,0.00044171187892632784,0.09968845,8
63,13,0.21899999999999997,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.002941568758426253,0.001430615164520744,0.00032570673900628216,0.09869555,9
65,8,0.212,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.0028520202721715572,0.001430615164520744,0.0003152960213211498,0.09860645,10
54,15,0.11800000000000001,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.0016495120281799225,0.001430615164520744,0.00017549495526365892,0.097409874,11
55,4,0.09,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.0012913180831611378,0.001430615164520744,0.00013385208452312966,0.09705345,12
68,17,0.08800000000000001,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.0012657328013740818,0.001430615164520744,0.000130877593755949,0.097027995,13
62,11,0.039,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.0006388933975912088,0.001430615164520744,5.8002569960022854e-05,0.09640423,14
57,3,0.027999999999999997,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.0004981743477624006,0.001430615164520744,4.1642870740529225e-05,0.096264236,15
53,1,0.011000000000000001,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.00028069945257242407,0.001430615164520744,1.6359699219493625e-05,0.09604782,16
52,9,0.003,2018-08-31,"[0, 0, 0]",0,4,0,0,0,0,0,0.00017835832542419995,0.001430615164520744,4.461736150770988e-06,0.09594598,17
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
77,7,78.38,2018-09-07,"[0, 0, 0, 0]",0,5,0,0,0,0,0,1.0,0.005722460658082976,0.11657029316581002,1.0741954,1
79,19,51.24100000000001,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.6537994249572603,0.005722460658082976,0.07620794070055209,0.7413277,2
72,12,38.611,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.4926839357060055,0.005722460658082976,0.05742403150580621,0.5837077,3
85,6,6.301,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.08051913303711862,0.005722460658082976,0.009371133162002668,0.17588612,4
78,16,5.504,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.07035214610653666,0.005722460658082976,0.008185798591281173,0.16577679,5
71,10,1.555,2018-09-07,"[0, 0, 0, 0]",0,5,0,0,0,0,0,0.0199764480025616,0.005722460658082976,0.002312666571482962,0.11567012,6
84,14,1.217,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.015664727070896986,0.005722460658082976,0.0018099776318294312,0.11138032,7
73,18,0.828,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.010702421028241552,0.005722460658082976,0.0012314391776127927,0.10644304,8
87,13,0.395,2018-09-07,"[0, 0, 0, 0]",0,5,0,0,0,0,0,0.005178825870221497,0.005722460658082976,0.0005874619265181803,0.1009471,9
86,5,0.304,2018-09-07,"[0, 0, 0, 0]",0,5,0,0,0,0,0,0.004017977927081022,0.005722460658082976,0.00045212259661146016,0.09979203,10
81,8,0.17800000000000002,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.0024106500058095983,0.005722460658082976,0.0002647296782790787,0.09819269,11
75,15,0.142,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.0019514134568749046,0.005722460658082976,0.00021118884446982681,0.09773575,12
94,26,0.126,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.001747308324015041,0.005722460658082976,0.00018739291833238156,0.097532645,13
76,4,0.107,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.0015049334787439529,0.005722460658082976,0.00015913525604416523,0.09729148,14
88,17,0.08800000000000001,2018-09-07,"[0, 0, 0, 0]",0,5,0,0,0,0,0,0.0012625586334728653,0.005722460658082976,0.000130877593755949,0.0970503,15
82,11,0.035,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.0005864603808745674,0.005722460658082976,5.205358842566154e-05,0.09637755,16
92,24,0.02,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.0003951118188184453,0.005722460658082976,2.974490767180659e-05,0.096187145,17
91,25,0.02,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.0003951118188184453,0.005722460658082976,2.974490767180659e-05,0.096187145,18
74,3,0.018000000000000002,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.00036959867721096234,0.005722460658082976,2.677041690462593e-05,0.09616176,19
93,29,0.01,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.0002675461107810307,0.005722460658082976,1.4872453835903295e-05,0.09606022,20
69,1,0.008,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.00024203296917354767,0.005722460658082976,1.1897963068722635e-05,0.096034825,21
89,22,0.004,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.00019100668595858176,0.005722460658082976,5.9489815343613174e-06,0.09598406,22
70,9,0.004,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.00019100668595858176,0.005722460658082976,5.9489815343613174e-06,0.09598406,23
83,21,0.001,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.00015273697354735734,0.005722460658082976,1.4872453835903298e-06,0.09594598,25
90,23,0.001,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.00015273697354735734,0.005722460658082976,1.4872453835903298e-06,0.09594598,24
80,20,0.001,2018-09-07,"[0, 0, 0]",0,5,0,0,0,0,0,0.00015273697354735734,0.005722460658082976,1.4872453835903298e-06,0.09594598,26
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
110,7,78.00399999999998,2018-09-08,"[0, 0, 0, 0, 0]",0,6,0,0,0,0,0,1.0,0.001430615164520744,0.11601108890158005,1.0741954,1
99,12,40.235,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.5158746592460801,0.001430615164520744,0.059839318008756914,0.6064652,2
112,6,6.885,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.08839232944801195,0.001430615164520744,0.010239684466019418,0.18369049,3
98,16,5.791,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.0743693708633317,0.001430615164520744,0.008612638016371599,0.16974774,4
105,10,1.577,2018-09-08,"[0, 0, 0, 0, 0]",0,6,0,0,0,0,0,0.020354062384499345,0.001430615164520744,0.00234538596992195,0.116020754,5
109,14,1.4040000000000001,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.018136537855112062,0.001430615164520744,0.0020880925185608225,0.11381447,6
101,18,0.821,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.010663608371685562,0.001430615164520744,0.0012210284599276605,0.106379144,7
96,2,0.667,2018-09-08,"[0, 0, 0]",0,6,0,0,0,0,0,0.00868962699870498,0.001430615164520744,0.00099199267085475,0.10441499,8
100,5,0.33799999999999997,2018-09-08,"[0, 0, 0, 0, 0]",0,6,0,0,0,0,0,0.004472484974610095,0.001430615164520744,0.0005026889396535316,0.10021882,9
106,13,0.21899999999999997,2018-09-08,"[0, 0, 0, 0, 0]",0,6,0,0,0,0,0,0.002947135731852369,0.001430615164520744,0.00032570673900628216,0.09870102,10
104,8,0.17300000000000001,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.002357504932130896,0.001430615164520744,0.000257293451361127,0.0981143,11
103,15,0.147,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.002024235349679629,0.001430615164520744,0.00021862507138777843,0.09778268,12
97,4,0.087,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.001255151697869011,0.001430615164520744,0.00012939034837235866,0.097017385,13
108,17,0.06,2018-09-08,"[0, 0, 0, 0, 0]",0,6,0,0,0,0,0,0.0009090640545542332,0.001430615164520744,8.923472301541977e-05,0.096673004,14
111,11,0.047,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.0007424292633285996,0.001430615164520744,6.99005330287455e-05,0.09650721,15
107,3,0.027999999999999997,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.0004988861069219041,0.001430615164520744,4.1642870740529225e-05,0.09626486,16
95,1,0.012,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.00029379713310573937,0.001430615164520744,1.7846944603083952e-05,0.096060775,17
102,9,0.003,2018-09-08,"[0, 0, 0, 0]",0,6,0,0,0,0,0,0.0001784345853341468,0.001430615164520744,4.461736150770988e-06,0.09594598,18
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
114,7,77.777,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,7,0,0,0,0,0,1.0,0.001430615164520744,0.11567348419950504,1.0741954,1
117,19,50.62600000000001,2018-09-09,"[0, 0, 0]",0,7,0,0,0,0,0,0.6509610888555086,0.001430615164520744,0.07529328478964405,0.73856777,2
121,12,38.515,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.4952684715349335,0.001430615164520744,0.057281255948981535,0.586253,3
120,6,6.7520000000000024,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.08694012507688477,0.001430615164520744,0.010041880830001907,0.1822816,4
116,16,5.45,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.07020230097058561,0.001430615164520744,0.008105487340567295,0.16563961,5
133,10,1.69,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.02186572751460655,0.001430615164520744,0.002513444698267657,0.11756216,6
130,14,1.2670000000000001,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.016427863000808902,0.001430615164520744,0.0018843399010089476,0.11215207,7
123,18,0.828,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.01078431094039007,0.001430615164520744,0.0012314391776127927,0.10653708,8
118,2,0.696,2018-09-09,"[0, 0, 0]",0,7,0,0,0,0,0,0.009087388680765272,0.001430615164520744,0.0010351227869788693,0.1048487,9
131,13,0.361,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.004780805673384159,0.001430615164520744,0.0005368955834761089,0.10056369,10
134,5,0.297,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.003958055486899409,0.001430615164520744,0.00044171187892632784,0.09974506,11
135,8,0.188,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.0025568090755425693,0.001430615164520744,0.000279602132114982,0.09835079,12
124,15,0.146,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.002016879265661952,0.001430615164520744,0.0002171378260041881,0.09781355,13
127,4,0.099,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.0014126720974622134,0.001430615164520744,0.00014723729297544264,0.09721235,14
132,17,0.061,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.0009241641742368934,0.001430615164520744,9.07219683990101e-05,0.09672627,15
136,11,0.04,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.0006541992692965848,0.001430615164520744,5.948981534361318e-05,0.096457645,16
125,3,0.022000000000000002,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.0004228007793477487,0.001430615164520744,3.271939843898725e-05,0.09622739,17
113,25,0.021,2018-09-09,"[0, 0, 0]",0,7,0,0,0,0,0,0.0004099453076839245,0.001430615164520744,3.1232153055396924e-05,0.0962146,18
122,24,0.015,2018-09-09,"[0, 0, 0]",0,7,0,0,0,0,0,0.0003328124777009792,0.001430615164520744,2.2308680753854943e-05,0.09613786,19
128,1,0.006,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.00021711323272656117,0.001430615164520744,8.923472301541976e-06,0.09602273,20
115,22,0.004,2018-09-09,"[0, 0, 0]",0,7,0,0,0,0,0,0.00019140228939891281,0.001430615164520744,5.9489815343613174e-06,0.09599715,21
126,9,0.003,2018-09-09,"[0, 0, 0, 0, 0]",0,7,0,0,0,0,0,0.00017854681773508854,0.001430615164520744,4.461736150770988e-06,0.095984355,22
119,23,0.001,2018-09-09,"[0, 0, 0]",0,7,0,0,0,0,0,0.0001528358744074401,0.001430615164520744,1.4872453835903298e-06,0.09595878,23
129,20,0.0,2018-09-09,"[0, 0, 0]",0,7,0,0,0,0,0,0.0001399804027436159,0.001430615164520744,0.0,0.09594598,24
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
146,7,77.92,2018-09-09,"[0, 0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,1.0,0.000715307582260372,0.11588616028935847,1.0741954,1
155,19,51.83,2018-09-09,"[0, 0, 0]",0,8,0,0,0,0,0,0.6652162742390602,0.000715307582260372,0.07708392823148677,0.75243366,2
149,12,37.514,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.4815150930204474,0.000715307582260372,0.05579252332000763,0.57271975,3
153,6,6.724,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.08642153548195244,0.000715307582260372,0.010000237959261377,0.18173106,4
144,16,5.44,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.06994540271548842,0.000715307582260372,0.008090614886731394,0.16534853,5
142,10,1.4909999999999999,2018-09-09,"[0, 0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.0192723121432404,0.000715307582260372,0.0022174828669331817,0.11494445,6
150,14,1.1840000000000002,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.015332925259046898,0.000715307582260372,0.0017608985341709504,0.11102497,7
148,18,0.8270000000000001,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.01075194441977302,0.000715307582260372,0.0012299519322292024,0.106466986,8
154,2,0.7340000000000001,2018-09-09,"[0, 0, 0]",0,8,0,0,0,0,0,0.009558579663323522,0.000715307582260372,0.001091638111555302,0.10527958,9
143,5,0.24600000000000002,2018-09-09,"[0, 0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.003296622661739061,0.000715307582260372,0.00036586236436322113,0.09904874,10
152,13,0.21899999999999997,2018-09-09,"[0, 0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.0029501619259956584,0.000715307582260372,0.00032570673900628216,0.09870398,11
138,8,0.17300000000000001,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.0023598954873217137,0.000715307582260372,0.000257293451361127,0.09811664,12
137,15,0.161,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.002205912938102424,0.000715307582260372,0.000239446506758043,0.097963415,13
139,4,0.099,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.0014103364338027586,0.000715307582260372,0.00014723729297544264,0.09717177,14
147,17,0.098,2018-09-09,"[0, 0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.0013975045547011508,0.000715307582260372,0.00014575004759185233,0.097159006,15
140,11,0.04,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.000653255566807916,0.000715307582260372,5.948981534361318e-05,0.09641842,16
141,3,0.023,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.00043511362208058837,0.000715307582260372,3.4206643822577585e-05,0.096201345,17
151,1,0.008,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.00024263543555647592,0.000715307582260372,1.1897963068722635e-05,0.09600982,18
145,9,0.003,2018-09-09,"[0, 0, 0, 0, 0, 0]",0,8,0,0,0,0,0,0.00017847604004843842,0.000715307582260372,4.461736150770988e-06,0.09594598,19
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
159,7,78.27600000000002,2018-09-10,"[0, 0, 0, 0, 0, 0, 0, 0]",0,9,0,0,0,0,0,1.0,0.001430615164520744,0.11641561964591668,1.0741954,1
175,19,51.809,2018-09-10,"[0, 0, 0, 0]",0,9,0,0,0,0,0,0.6619232569538478,0.001430615164520744,0.07705269607843138,0.7492371,2
156,12,38.985,2018-09-10,"[0, 0, 0, 0, 0, 0, 0]",0,9,0,0,0,0,0,0.4981156417037686,0.001430615164520744,0.057980261279269,0.5890431,3
162,6,6.584,2018-09-10,"[0, 0, 0, 0, 0, 0, 0]",0,9,0,0,0,0,0,0.08424083339763776,0.001430615164520744,0.009792023605558729,0.17958637,4
160,16,5.431,2018-09-10,"[0, 0, 0, 0, 0, 0, 0]",0,9,0,0,0,0,0,0.06951296530785754,0.001430615164520744,0.00807722967827908,0.16494231,5
168,10,1.63,2018-09-10,"[0, 0, 0, 0, 0, 0, 0, 0]",0,9,0,0,0,0,0,0.020960817337992318,0.001430615164520744,0.002424209975252237,0.11664946,6
174,14,1.291,2018-09-10,"[0, 0, 0, 0, 0, 0, 0]",0,9,0,0,0,0,0,0.016630594196244273,0.001430615164520744,0.0019200337902151156,0.11234126,7
173,18,0.826,2018-09-10,"[0, 0, 0, 0, 0, 0, 0]",0,9,0,0,0,0,0,0.010690907585881914,0.001430615164520744,0.001228464686845612,0.106431566,8
