priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9998727499407293,0.004,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,13,0.7469483568075115,0.34285714285714286
1.0,0.966061340654116,0.039,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,4,0.7469483568075115,0.34285714285714286
1.0,0.9645762018651451,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,18,0.7469483568075115,0.34285714285714286
1.0,0.9279469721162756,0.0,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,31,0.7469483568075115,0.34285714285714286
1.0,0.8982889896718458,0.021,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,5,0.7469483568075115,0.34285714285714286
1.0,0.8822418183010993,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,24,0.7469483568075115,0.34285714285714286
1.0,0.865019521710904,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,22,0.7469483568075115,0.34285714285714286
1.0,0.8448474345940575,0.013000000000000001,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,8,0.7469483568075115,0.34285714285714286
1.0,0.839763833544677,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,16,0.7469483568075115,0.34285714285714286
1.0,0.8071741509203806,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,19,0.7469483568075115,0.34285714285714286
1.0,0.7556026770016206,0.011000000000000001,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,9,0.7469483568075115,0.34285714285714286
1.0,0.7318719318696664,0.044000000000000004,2.0,1,0.2,39a6d167cff46d6348d635c7bc0d183dc23755d7,35,0.7469483568075115,0.34285714285714286
1.0,0.5953179179580244,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,26,0.7469483568075115,0.34285714285714286
1.0,0.5797929766233058,0.002,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,15,0.7469483568075115,0.34285714285714286
1.0,0.5591267290033223,0.015,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,7,0.7469483568075115,0.34285714285714286
1.0,0.5506191194423654,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,17,0.7469483568075115,0.34285714285714286
0.0,0.9999172421065935,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,27,0.7469483568075115,0.34285714285714286
0.0,0.9994731634851962,0.0,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,34,0.7469483568075115,0.34285714285714286
0.0,0.9990200563290884,0.0,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,29,0.7469483568075115,0.34285714285714286
0.0,0.9978114562366134,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,23,0.7469483568075115,0.34285714285714286
0.0,0.9956092474720958,0.0,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,28,0.7469483568075115,0.34285714285714286
0.0,0.9927168030881655,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,25,0.7469483568075115,0.34285714285714286
0.0,0.990565477932429,0.061,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,2,0.7469483568075115,0.34285714285714286
0.0,0.990125347177957,0.004,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,12,0.7469483568075115,0.34285714285714286
0.0,0.9841710109489485,0.046,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,3,0.7469483568075115,0.34285714285714286
0.0,0.9468395091511994,0.07200000000000001,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,1,0.7469483568075115,0.34285714285714286
0.0,0.9309713926565305,0.006999999999999999,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,11,0.7469483568075115,0.34285714285714286
0.0,0.8910196841229934,0.0,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,30,0.7469483568075115,0.34285714285714286
0.0,0.781588903646613,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,20,0.7469483568075115,0.34285714285714286
0.0,0.7622174155325517,0.003,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,14,0.7469483568075115,0.34285714285714286
0.0,0.7420310010889453,0.006999999999999999,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,10,0.7469483568075115,0.34285714285714286
0.0,0.7343342314205815,0.0,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,33,0.7469483568075115,0.34285714285714286
0.0,0.7140574683996448,0.016,0.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,6,0.7469483568075115,0.34285714285714286
0.0,0.6758217304701806,0.0,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,32,0.7469483568075115,0.34285714285714286
0.0,0.5577750218563264,0.001,1.0,0,0.0,39a6d167cff46d6348d635c7bc0d183dc23755d7,21,0.7469483568075115,0.34285714285714286
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9995951139214214,0.08800000000000001,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,1,0.6709790209790211,0.9375
1.0,0.9918405122595233,0.011000000000000001,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,11,0.6709790209790211,0.9375
1.0,0.9900858132286167,0.006999999999999999,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,14,0.6709790209790211,0.9375
1.0,0.9509913021743875,0.002,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,18,0.6709790209790211,0.9375
1.0,0.9043220998025846,0.001,1.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,22,0.6709790209790211,0.9375
1.0,0.8943709492212439,0.018000000000000002,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,9,0.6709790209790211,0.9375
1.0,0.8886727245101206,0.001,1.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,25,0.6709790209790211,0.9375
1.0,0.8698514992887815,0.025,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,7,0.6709790209790211,0.9375
1.0,0.7607784963999208,0.026000000000000002,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,6,0.6709790209790211,0.9375
1.0,0.720441544754515,0.001,1.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,27,0.6709790209790211,0.9375
1.0,0.6608920322459302,0.011000000000000001,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,12,0.6709790209790211,0.9375
1.0,0.5457833273205747,0.002,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,19,0.6709790209790211,0.9375
0.0,0.9999588944541397,0.003,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,17,0.6709790209790211,0.9375
0.0,0.9819407601230975,0.002,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,20,0.6709790209790211,0.9375
0.0,0.9804089654371115,0.01,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,13,0.6709790209790211,0.9375
0.0,0.9690008118291001,0.024,0.0,0,0.0,95a11eca1abed032dc60420cdaf726cdcdc33a2d,8,0.6709790209790211,0.9375
