priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.9999999499435172,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,43,0.7235547061634019,0.35555555555555557
3.0,0.8943895586313516,0.009000000000000001,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,30,0.7235547061634019,0.35555555555555557
3.0,0.8886095476908593,0.057,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,20,0.7235547061634019,0.35555555555555557
3.0,0.774971607493942,0.069,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,18,0.7235547061634019,0.35555555555555557
2.0,0.9893761411962033,0.159,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,13,0.7235547061634019,0.35555555555555557
2.0,0.7533423256157663,0.081,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,17,0.7235547061634019,0.35555555555555557
2.0,0.6379449705854547,0.055,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,21,0.7235547061634019,0.35555555555555557
1.0,1.0,0.002,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,33,0.7235547061634019,0.35555555555555557
1.0,1.0,0.434,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,6,0.7235547061634019,0.35555555555555557
1.0,0.9999999999999987,0.32,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,7,0.7235547061634019,0.35555555555555557
1.0,0.9791775961995183,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,42,0.7235547061634019,0.35555555555555557
1.0,0.8985475939907479,0.009000000000000001,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,29,0.7235547061634019,0.35555555555555557
1.0,0.8282567550139293,1.187,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,2,0.7235547061634019,0.35555555555555557
1.0,0.7812506687193377,0.173,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,12,0.7235547061634019,0.35555555555555557
1.0,0.7653838956449067,240.83900000000003,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0.7235547061634019,0.35555555555555557
1.0,0.6533828664643166,9.897,2.0,1,0.5,eff0d29723a5e60759d5e0407fce10b162b8cac5,45,0.7235547061634019,0.35555555555555557
1.0,0.6371709437134121,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,40,0.7235547061634019,0.35555555555555557
1.0,0.6188324586795306,0.027000000000000003,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,22,0.7235547061634019,0.35555555555555557
1.0,0.5496797227578399,0.763,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,4,0.7235547061634019,0.35555555555555557
1.0,0.5082248481432519,0.001,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,35,0.7235547061634019,0.35555555555555557
0.0,0.9731903791842536,0.024,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,24,0.7235547061634019,0.35555555555555557
0.0,0.9520642117427868,1.04,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,3,0.7235547061634019,0.35555555555555557
0.0,0.9437879514092639,0.228,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,10,0.7235547061634019,0.35555555555555557
0.0,0.9167860956547438,0.122,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,15,0.7235547061634019,0.35555555555555557
0.0,0.9079567396072623,0.025,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,23,0.7235547061634019,0.35555555555555557
0.0,0.9073951826827849,0.233,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,9,0.7235547061634019,0.35555555555555557
0.0,0.8426983223111849,0.235,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,8,0.7235547061634019,0.35555555555555557
0.0,0.8414222789456819,0.0,1.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,39,0.7235547061634019,0.35555555555555557
0.0,0.8373273519236555,0.065,0.0,0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,19,0.7235547061634019,0.35555555555555557
