priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9676495065654926,0.003,3.0,5,0.5555555560000001,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,70,0.7647741701432978,0.356981981981982
1.0,0.9412469331803918,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,57,0.7647741701432978,0.356981981981982
1.0,0.9412187681034776,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,54,0.7647741701432978,0.356981981981982
1.0,0.9400579116902997,0.008,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,20,0.7647741701432978,0.356981981981982
1.0,0.934656364608263,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,36,0.7647741701432978,0.356981981981982
1.0,0.9243585087630186,0.023,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,11,0.7647741701432978,0.356981981981982
1.0,0.9034399650531212,0.0,3.0,3,0.333333333,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,74,0.7647741701432978,0.356981981981982
1.0,0.9023172654677807,0.015,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,14,0.7647741701432978,0.356981981981982
1.0,0.8979328561074152,0.835,2.0,3,0.176470588,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,63,0.7647741701432978,0.356981981981982
1.0,0.8979328561074152,0.619,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,2,0.7647741701432978,0.356981981981982
1.0,0.8862098858710081,0.014,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,15,0.7647741701432978,0.356981981981982
1.0,0.8725494219610166,0.0,1.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,46,0.7647741701432978,0.356981981981982
1.0,0.8666691319099145,0.061,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,7,0.7647741701432978,0.356981981981982
1.0,0.8641721369289459,0.023,2.0,11,0.916666667,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,65,0.7647741701432978,0.356981981981982
1.0,0.8614188095511629,0.006999999999999999,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,22,0.7647741701432978,0.356981981981982
1.0,0.8586757139940471,0.016,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,13,0.7647741701432978,0.356981981981982
1.0,0.8563910220037741,0.0,3.0,3,0.428571429,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,73,0.7647741701432978,0.356981981981982
1.0,0.8546806546856136,0.037000000000000005,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,9,0.7647741701432978,0.356981981981982
1.0,0.8540268764781462,0.006999999999999999,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,21,0.7647741701432978,0.356981981981982
1.0,0.8505262258428947,0.006999999999999999,2.0,3,1.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,66,0.7647741701432978,0.356981981981982
1.0,0.8479413037700665,0.028,0.0,0,0.0,d6c316fdca8e4c7f7ee162699d4e62fac64fd969,10,0.7647741701432978,0.356981981981982
