test_class_name,cycle_id,tests,failures_0,failures_1,failures_2,failures_3,current_failures,failures_%,time_0,time,time_since,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,A_priority,A_priority_with_time,B_priority,B_priority_with_time,C_priority,C_priority_with_time,D_priority
org/springframework/data/redis/core/RedisKeyExpiredEventUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,2,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,6,1,5,0,1,0,0,2,2,2,0,2,0,0,0,2,46,7,19,9,7,22,10,13,7,6,1,1,1,1,0,1.16,2,2,2,2,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/listener/KeyExpirationEventMessageListenerUnitTests.java,322cfabb17eb93c492dce96cf0ea5134948d61a6,3,0,0,0,0,0,0.0,0.0,0.028999999999999998,0.0,1,1,1,1,6,2,4,0,1,0,3,4,4,4,3,4,0,0,0,4,83,17,48,33,14,21,33,38,28,10,1,1,1,1,0,0.44,4,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveZSetCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,82,0,0,0,0,0,0.0,0.0,0.131,0.0,1,1,1,1,10,2,8,0,1,0,0,41,41,41,0,41,0,0,0,41,547,134,391,95,254,102,188,230,54,176,1,1,1,1,0,0.26,41,41,41,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveSetCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,46,0,0,0,0,0,0.0,0.0,0.049,0.0,1,1,1,1,7,1,5,0,1,0,0,24,24,23,0,23,0,0,0,23,264,72,171,58,89,60,76,100,35,65,1,1,1,1,0,0.35,24,24,24,24,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceConnectionFactoryTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,24,0,0,0,0,0,0.0,0.0,0.073,0.0,1,1,1,1,13,2,10,0,1,1,0,28,28,26,2,27,0,0,0,27,505,101,369,155,238,45,230,270,109,161,2,2,2,1,1,0.12,35,35,36,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveRedisConnectionUnitTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,11,0,0,0,0,0,0.0,0.0,1.043,0.0,1,1,1,1,7,2,5,0,1,0,0,17,17,12,2,12,0,0,0,12,198,59,119,66,58,31,73,86,47,39,1,1,1,1,0,0.26,17,17,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveHashCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,42,0,0,0,0,0,0.0,0.0,0.061,0.0,1,1,1,1,8,1,6,0,1,0,9,23,23,21,0,21,0,0,0,21,277,70,186,68,109,52,94,116,47,69,1,1,1,1,0,0.28,23,23,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveListCommandTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,50,0,0,0,0,0,0.0,0.0,0.048,0.0,1,1,1,1,8,2,6,0,1,0,0,25,25,25,0,25,0,0,0,25,312,87,205,84,106,51,105,131,56,75,1,1,1,1,0,0.25,25,25,25,25,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveServerCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,32,0,0,0,0,0,0.0,0.0,0.021,0.0,1,1,1,1,7,1,6,1,1,0,0,25,25,16,0,16,0,0,0,16,223,49,154,44,90,64,49,72,25,47,2,2,2,1,2,0.42,30,30,30,25,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveScriptingCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,20,0,0,0,0,0,0.0,0.0,0.006,0.0,1,1,1,1,10,2,8,1,1,1,0,12,12,10,0,11,0,1,0,10,182,44,119,49,69,52,52,65,38,27,2,2,2,1,1,0.44,13,13,13,12,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveStringCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,76,0,0,0,0,0,0.0,0.0,0.077,0.0,1,1,1,1,9,2,7,1,1,0,0,39,39,38,0,38,0,0,0,38,512,136,356,133,203,108,153,192,90,102,1,1,1,1,0,0.3,39,39,39,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveGeoCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,28,0,0,0,0,0,0.0,0.0,0.9159999999999999,0.0,1,1,1,1,9,1,8,0,1,0,9,18,18,14,0,14,0,0,0,14,251,54,179,64,116,48,88,103,45,58,1,1,1,1,0,0.27,18,18,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveHyperLogLogCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,10,0,0,0,0,0,0.0,0.0,0.013000000000000001,0.0,1,1,1,1,8,2,5,0,1,0,0,5,5,5,0,5,0,0,0,5,82,21,42,18,18,24,22,28,13,15,1,1,1,1,0,0.57,5,5,5,5,0.0,1.0,0.0,1.0,0.0,1.0,1.0
org/springframework/data/redis/connection/lettuce/LettuceReactiveKeyCommandsTests.java,3a7d87111941c19b6b7805f9f2ba1d93f343827f,70,0,0,0,0,0,0.0,0.0,0.037000000000000005,0.0,1,1,1,1,8,2,6,0,1,0,0,39,39,35,1,35,0,0,0,35,439,119,299,114,164,90,140,176,71,105,1,1,1,1,0,0.3,39,39,39,39,0.0,1.0,0.0,1.0,0.0,1.0,1.0
