Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,1,0.057,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.062106584685580724,1.0,0.00292442665845775
2,2,0.115,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.1251399776035834,1.0,0.0059001590477656355
3,3,0.0,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0
4,4,0.64,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.6957008617751592,1.0,0.03283566774408701
5,5,0.018000000000000002,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.01972206186140652,1.0,0.0009235031553024474
6,6,0.0,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0
7,7,0.011000000000000001,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.012114583405785508,1.0,0.0005643630393514956
8,8,0.0,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.00015997440409534473,1.0,0.0
9,9,0.062,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.06754049786816717,1.0,0.0031809553127084295
10,10,0.025,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.027329540317027532,1.0,0.001282643271253399
11,11,0.903,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.9815246951792058,1.0,0.04632907495767277
12,12,0.92,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,1.0,1.0,0.047201272382125084
13,13,0.013999999999999999,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.015374931315337367,1.0,0.0007182802319019033
14,14,0.023,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.025155975043992956,1.0,0.001180031809553127
15,15,0.003,2015-01-20,"[0, 0, 0]",0,1,0,0,0,0,0,0.0034203223136472075,1.0,0.00015391719255040788
16,13,0.018000000000000002,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.015782474804031353,0.00552689756816507,0.0009235031553024474
17,12,1.1520000000000001,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,1.0,0.00552689756816507,0.059104201939356636
18,16,0.35100000000000003,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.30479873220284753,0.00552689756816507,0.018008311528397724
19,2,0.46,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.3994016512913489,0.00552689756816507,0.023600636191062542
20,17,0.32299999999999995,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.2804970649140581,0.00552689756816507,0.016571751064593913
21,18,0.036000000000000004,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.03140497520396735,0.00552689756816507,0.0018470063106048949
22,19,0.003,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.0027637244707513463,0.00552689756816507,0.00015391719255040788
23,20,0.5329999999999999,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.46275956957997816,0.00552689756816507,0.027345954543122462
24,21,0.012,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.010574974670719349,0.00552689756816507,0.0006156687702016315
25,22,0.005,2015-02-04,"[0, 0, 0]",0,2,0,0,0,0,0,0.0044995578485220135,0.00552689756816507,0.0002565286542506798
