Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,1,0.076,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,0.5352577418314507,1.0,0.0014433302947432388
2,2,0.021,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,0.1479725266909929,1.0,0.0003988149498632634
3,3,0.0,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,9.999000099990002e-05,1.0,0.0
4,4,0.016,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,0.11276477986004219,1.0,0.0003038590094196292
5,5,0.001,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,0.007141539367190043,1.0,1.8991188088726826e-05
6,6,0.142,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,1.0,1.0,0.002696748708599209
7,7,0.016,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,0.11276477986004219,1.0,0.0003038590094196292
8,8,0.005,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,0.035307736831950605,1.0,9.495594044363413e-05
9,9,0.001,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,0.007141539367190043,1.0,1.8991188088726826e-05
10,10,0.0,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,9.999000099990002e-05,1.0,0.0
11,11,0.034,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,0.23951266845146474,1.0,0.0006457003950167122
12,12,0.0,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,9.999000099990002e-05,1.0,0.0
13,13,0.002,2012-06-03,"[0, 0, 0]",0,1,0,0,0,0,0,0.014183088733380185,1.0,3.798237617745365e-05
14,14,0.009000000000000001,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.060093990600939916,0.001088139281828074,0.00017092069279854146
15,4,0.01,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.06675999066759991,0.001088139281828074,0.00018991188088726826
16,12,0.0,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,9.999000099990002e-05,0.001088139281828074,0.0
17,3,0.0,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,9.999000099990002e-05,0.001088139281828074,0.0
18,15,0.001,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.0067659900676599015,0.001088139281828074,1.8991188088726826e-05
19,5,0.001,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.0067659900676599015,0.001088139281828074,1.8991188088726826e-05
20,10,0.001,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.0067659900676599015,0.001088139281828074,1.8991188088726826e-05
21,16,0.046,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.30673599306736,0.001088139281828074,0.000873594652081434
22,8,0.004,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.026763990267639905,0.001088139281828074,7.59647523549073e-05
23,7,0.012,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.08009199080091992,0.001088139281828074,0.0002278942570647219
24,9,0.003,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.020097990200979902,0.001088139281828074,5.697356426618048e-05
25,13,0.001,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.0067659900676599015,0.001088139281828074,1.8991188088726826e-05
26,11,0.083,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.55337799553378,0.001088139281828074,0.0015762686113643266
27,6,0.15,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,1.0,0.001088139281828074,0.002848678213309024
28,2,0.026,2012-06-06,"[0, 0, 0]",0,2,0,0,0,0,0,0.17341599173415992,0.001088139281828074,0.0004937708903068975
29,12,0.001,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,0.0091899900918999,0.0013601741022850925,1.8991188088726826e-05
30,8,0.002,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,0.0182799901827999,0.0013601741022850925,3.798237617745365e-05
31,1,0.07400000000000001,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,0.6727599967276001,0.0013601741022850925,0.0014053479185657852
32,11,0.033,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,0.3000699930007,0.0013601741022850925,0.0006267092069279853
33,2,0.018000000000000002,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,0.16371999163719994,0.0013601741022850925,0.0003418413855970829
34,3,0.0,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,9.999000099990002e-05,0.0013601741022850925,0.0
35,4,0.01,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,0.09099999090999991,0.0013601741022850925,0.00018991188088726826
36,10,0.0,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,9.999000099990002e-05,0.0013601741022850925,0.0
37,5,0.0,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,9.999000099990002e-05,0.0013601741022850925,0.0
38,13,0.001,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,0.0091899900918999,0.0013601741022850925,1.8991188088726826e-05
39,6,0.11,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,1.0,0.0013601741022850925,0.002089030689759951
40,7,0.018000000000000002,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,0.16371999163719994,0.0013601741022850925,0.0003418413855970829
41,9,0.001,2012-06-10,"[0, 0, 0]",0,3,0,0,0,0,0,0.0091899900918999,0.0013601741022850925,1.8991188088726826e-05
42,2,0.02,2012-07-17,"[0, 0, 0]",0,4,0,0,0,0,0,0.17249654344910334,0.010337323177366704,0.0003798237617745365
43,17,0.0,2012-07-17,"[0, 0, 0]",0,4,0,0,0,0,0,9.999000099990002e-05,0.010337323177366704,0.0
44,18,0.0,2012-07-17,"[0, 0, 0]",0,4,0,0,0,0,0,9.999000099990002e-05,0.010337323177366704,0.0
45,14,0.0,2012-07-17,"[0, 0, 0]",0,4,0,0,0,0,0,9.999000099990002e-05,0.010337323177366704,0.0
